lat,lon,p_anomalous
48.58266004,-118.92447768,0.885
48.16903497,-119.83589871,0.165
48.14460917,-118.26165798,0.88
48.3076494,-119.71700565,0.84
48.05376068,-119.29531256,0.085
48.65931732,-119.58700809,0.905
48.89699314,-118.86554873,0.845
47.9540447,-118.66056327,0.95
47.67210008,-118.28414723,0.78
48.01571839,-118.13414672,0.8136124401913876
48.0954339,-118.85168622,0.73
48.01653363,-119.65644112,0.97
48.43792509,-119.87395931,0.885
48.20265215,-119.30087124,0.875
48.37099235,-118.88280484,0.8441944444444445
48.20487664,-119.13194267,0.9036124401913875
48.84100699,-118.44668374,0.27419444444444446
48.32931522,-119.78950973,0.215
47.53735306,-119.97533629,0.145
47.8301495,-119.05390955,0.72
47.64126336,-118.52999246,0.075
47.83180539,-119.8981183,0.12
48.98990434,-119.26838284,0.825
48.55793501,-119.17698582,0.275
47.64125954,-118.90667614,0.025
48.52348861,-119.32393409,0.77
48.14293377,-118.93669026,0.9341944444444445
47.51958832,-119.32697239,0.21
47.56514803,-118.78250156,0.03
48.81765814,-119.39339383,0.32
47.67069971,-119.46087015,0.05
48.85126282,-119.73396564,0.72
48.33406268,-118.01248109,0.965
48.13767484,-119.17724297,0.975
48.26849431,-118.71390787,0.22
47.56042506,-118.98417822,0.185
47.85959676,-118.80778878,0.11
47.85959324,-119.14391407,0.28
48.7723708,-119.87341344,0.115
48.691815,-119.76229546,0.735
48.91404203,-119.8314703,0.73
47.66459363,-118.81889473,0.245
47.72153277,-119.54420809,0.065
47.61153426,-119.24280299,0.075
47.66430886,-119.59393195,0.03
48.35599669,-118.63279511,0.925
48.76322535,-118.51918481,0.935
48.1840374,-119.63811015,0.9
47.91377007,-118.31748824,0.865
47.95127338,-118.07025306,0.84
48.06155105,-118.29721308,0.82
48.34317613,-119.30275168,0.24
47.53376662,-118.12746808,0.705
47.67182409,-118.09108156,0.72
48.57628586,-118.27889073,0.9
48.97240121,-119.02559742,0.925
48.58489934,-118.17110644,0.82
47.94986818,-119.49893098,0.08
47.81431091,-119.57282192,0.075
48.59321308,-119.17504272,0.93
48.58044555,-118.55501773,0.815
47.8609844,-118.95223937,0.805
48.27294794,-118.13332062,0.805
47.88958881,-119.59810222,0.175
47.77765636,-118.35804296,0.775
47.64124523,-119.9400602,0.195
48.86017357,-118.46446338,0.14732307692307692
48.42934068,-118.15388097,0.825
48.45877154,-118.77919339,0.785
48.85878038,-118.67391878,0.9
48.78698709,-118.77144395,0.225
48.02097673,-119.77533709,0.05
48.65487536,-119.43950107,0.175
47.89708553,-119.82172612,0.09
48.71796081,-118.01026465,0.945
48.35100029,-118.46917553,0.88
47.56375208,-119.57559648,0.155
48.32654409,-119.18059123,0.17
48.06654884,-118.52806042,0.855
48.44488347,-118.73252471,0.745
48.58044555,-118.55501773,0.79
47.5131969,-119.52170456,0.065
47.50792672,-118.61638111,0.085
47.56181986,-118.36137046,0.15861244019138757
48.43350547,-118.26833264,0.905
48.43820738,-119.54949654,0.835
47.83014758,-119.21058304,0.085
48.73460221,-119.23782914,0.95
48.8571297,-118.03888187,0.84
48.65931732,-119.58700809,0.89
48.92626651,-119.55118382,0.12
47.77154413,-118.46471552,0.645
47.80710282,-118.19581252,0.125
47.88795065,-117.2926479,0.245
47.87127875,-117.68050738,0.145
47.75738799,-117.73106043,0.11
47.64322292,-117.54160454,0.27
47.75462028,-117.11270557,0.195
47.5221075,-117.7329931,0.27
47.96238811,-117.86940856,0.19
47.826831,-117.84356985,0.195
47.78461224,-117.4918892,0.305
47.61127544,-117.71910827,0.06
47.94794918,-117.43438873,0.27
48.75852256,-117.6133094,0.89
48.46796334,-117.39856456,0.89
48.07072891,-117.48411543,0.94
48.22573758,-117.17576639,0.92
48.64824966,-117.24939918,0.955
48.88437067,-117.10190395,0.865
48.89213488,-117.68442376,0.94
48.38323553,-117.61801899,0.845
48.07322468,-117.83052066,0.81
48.65991499,-117.32412535,0.7586124401913875
48.40628878,-117.84803133,0.895
48.81574276,-117.81692929,0.275
48.19267824,-117.36688826,0.92
48.48712871,-117.51523852,0.29
48.33101422,-117.45022991,0.285
48.59990521,-117.79442421,0.93
48.75547583,-117.2321823,0.81
48.23517687,-117.55301075,0.935
48.27739646,-117.849972,0.225
48.96325354,-117.46802505,0.96
48.61602053,-117.52468829,0.845
48.40628878,-117.84803133,0.9
48.13906315,-117.56023147,0.915
48.08351303,-117.10687195,0.81
48.87490919,-117.96526786,0.29
48.4340675,-117.82830918,0.935
48.7696418,-117.28662918,0.88
48.48046952,-117.04965728,0.205
47.89487864,-118.54201177,0.98
47.89487864,-118.54201177,1.0
47.89487864,-118.54201177,0.945
47.89487864,-118.54201177,0.99
47.89487864,-118.54201177,1.0
47.89487864,-118.54201177,1.0
47.89487864,-118.54201177,1.0
47.89487864,-118.54201177,1.0
47.89487864,-118.54201177,0.99
48.50709775,-118.18190662,0.995
48.50709775,-118.18190662,0.98
48.50709775,-118.18190662,0.975
48.50709775,-118.18190662,1.0
48.50709775,-118.18190662,1.0
48.50709775,-118.18190662,0.965
48.50709775,-118.18190662,0.995
48.50709775,-118.18190662,1.0
48.50709775,-118.18190662,0.925
48.50709775,-118.18190662,0.995
48.50709775,-118.18190662,0.895
48.50709775,-118.18190662,0.99
47.95488154,-118.3530025,0.965
47.95488154,-118.3530025,0.99
47.95488154,-118.3530025,0.97
47.95488154,-118.3530025,0.985
47.95488154,-118.3530025,1.0
47.95488154,-118.3530025,0.995
47.95488154,-118.3530025,0.96
47.95488154,-118.3530025,0.995
47.95488154,-118.3530025,0.98
47.95488154,-118.3530025,0.99
47.95488154,-118.3530025,0.97
47.95488154,-118.3530025,0.94
47.89487864,-118.54201177,1.0
48.50709775,-118.18190662,1.0
47.95488154,-118.3530025,1.0
47.93378266,-118.20189311,0.14
47.93378266,-118.20189311,0.155
47.93378266,-118.20189311,0.055
47.93378266,-118.20189311,0.135
47.93378266,-118.20189311,0.08
47.93378266,-118.20189311,0.03
47.93378266,-118.20189311,0.03
47.93378266,-118.20189311,0.165
47.93378266,-118.20189311,0.17
47.93378266,-118.20189311,0.06
47.93378266,-118.20189311,0.04
47.93378266,-118.20189311,0.07
47.93378266,-118.20189311,0.08
47.93378266,-118.20189311,0.03
47.93378266,-118.20189311,0.06
47.93378266,-118.20189311,0.045
48.19428928,-118.19299988,0.975
48.19428928,-118.19299988,1.0
48.19428928,-118.19299988,0.995
48.19428928,-118.19299988,0.925
48.19428928,-118.19299988,0.995
48.19428928,-118.19299988,0.94
48.19428928,-118.19299988,1.0
48.19428928,-118.19299988,0.97
48.19428928,-118.19299988,0.93
48.19428928,-118.19299988,0.975
48.19428928,-118.19299988,0.97
48.19428928,-118.19299988,1.0
48.19428928,-118.19299988,0.955
48.19428928,-118.19299988,0.99
48.19428928,-118.19299988,0.99
48.19428928,-118.19299988,1.0
48.19428928,-118.19299988,0.99
48.19428928,-118.19299988,0.985
48.19428928,-118.19299988,0.995
48.19428928,-118.19299988,0.95
48.19428928,-118.19299988,0.97
47.93378266,-118.20189311,0.05
47.95488154,-118.3530025,0.815
47.95488154,-118.3530025,0.91
47.95488154,-118.3530025,1.0
47.95488154,-118.3530025,1.0
47.95488154,-118.3530025,0.905
47.95488154,-118.3530025,0.99
47.95488154,-118.3530025,0.715
47.95488154,-118.3530025,0.635
47.95488154,-118.3530025,1.0
47.95488154,-118.3530025,0.825
47.95488154,-118.3530025,1.0
47.95488154,-118.3530025,0.865
47.95488154,-118.3530025,0.97
47.95488154,-118.3530025,0.94
47.95488154,-118.3530025,0.965
47.95488154,-118.3530025,0.825
47.95488154,-118.3530025,0.845
47.95488154,-118.3530025,0.97
47.95488154,-118.3530025,0.9536124401913875
47.95488154,-118.3530025,0.97
47.95488154,-118.3530025,0.91
47.95488154,-118.3530025,0.84
47.95488154,-118.3530025,0.97
47.95488154,-118.3530025,0.995
47.95488154,-118.3530025,0.995
47.95488154,-118.3530025,0.965
47.89487864,-118.54191176,0.935
47.89487864,-118.54191176,0.86
47.89487864,-118.54191176,0.965
47.89487864,-118.54191176,0.88
47.89487864,-118.54191176,0.83
47.89487864,-118.54191176,0.96
48.637102,-118.08690171,0.325
48.19428928,-118.19299988,0.975
48.50709775,-118.18190662,0.975
48.19428928,-118.19299988,0.96
48.50709775,-118.18190662,0.885
48.637102,-118.08690171,0.285
47.94181499,-118.91222898,0.865
47.882654,-118.91222722,0.215
48.15487871,-118.91223413,0.965
48.394321,-118.91223946,0.975
48.69599365,-118.91224702,0.97
48.81932875,-118.91224913,0.905
48.92239542,-118.91225015,0.055
48.92239542,-118.91225015,0.08
48.03570659,-118.91223151,0.935
47.882654,-118.91222722,0.195
47.882654,-118.91222722,0.23
48.15487871,-118.91223413,0.965
48.15487871,-118.91223413,0.89
48.81932875,-118.91224913,0.925
48.81932875,-118.91224913,0.86
48.03570659,-118.91223151,0.96
48.03570659,-118.91223151,0.91
47.94181499,-118.91222898,0.99
47.94181499,-118.91222898,0.965
48.394321,-118.91223946,0.98
48.394321,-118.91223946,0.905
48.65988325,-118.91224606,0.965
48.69599365,-118.91224702,0.975
48.69599365,-118.91224702,1.0
48.92239542,-118.91225015,0.105
48.92239542,-118.91225015,0.165
48.39433886,-118.17971503,0.84
48.39433886,-118.17971503,0.885
47.99988859,-117.87607658,0.0
47.99988859,-117.87607658,0.01
47.99988859,-117.87607658,0.25
47.99988859,-117.87607658,0.055
47.99988859,-117.87607658,0.0
47.99988859,-117.87607658,0.0
47.99988859,-117.87607658,0.0
47.99988859,-117.87607658,0.0
47.99988859,-117.87607658,0.01
47.99988859,-117.87607658,0.025
47.99988859,-117.87607658,0.0
47.99988859,-117.87607658,0.02
47.8748838,-118.00108156,0.08
47.8748838,-118.00108156,0.01
47.8748838,-118.00108156,0.02
47.8748838,-118.00108156,0.0
47.8748838,-118.00108156,0.01
47.8748838,-118.00108156,0.0
48.49990906,-117.37606429,0.805
48.49990906,-117.37606429,0.48947091592242453
48.49990906,-117.37606429,0.91
48.49990906,-117.37606429,0.695
48.49990906,-117.37606429,0.62
48.49990906,-117.37606429,0.8095397334963949
48.49990906,-117.37606429,0.835
48.49990906,-117.37606429,0.66
48.49990906,-117.37606429,0.6
48.49990906,-117.37606429,0.71
48.37490187,-117.62607473,0.925
48.37490187,-117.62607473,0.66
48.37490187,-117.62607473,0.915
48.37490187,-117.62607473,0.925
48.37490187,-117.62607473,0.67
48.37490187,-117.62607473,0.925
48.37490187,-117.62607473,0.625
48.49990906,-117.37606429,0.815
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.08690551528661056
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.22
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.02
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.015
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.5499652134810408
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.007827715355805244
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.055
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.21340243439029127
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.48324521195184106
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.25
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.035
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.26
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.235
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.07016172657751604
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.08
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.4190736625047123
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.245
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.265
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.11
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.13
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.065
48.49990705,-117.5010714,0.03
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.015
48.49990705,-117.5010714,0.125
48.49990705,-117.5010714,0.05
48.49990705,-117.5010714,0.225
48.49990705,-117.5010714,0.025
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.085
48.49990705,-117.5010714,0.03
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.055
48.49990705,-117.5010714,0.01
48.49990705,-117.5010714,0.11
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.04
48.49990705,-117.5010714,0.035
48.49990705,-117.5010714,0.01
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.01
48.49990705,-117.5010714,0.01
48.49990705,-117.5010714,0.04984987515605493
48.49990705,-117.5010714,0.03
48.49990705,-117.5010714,0.05
48.49990705,-117.5010714,0.015
48.49990705,-117.5010714,0.015
48.49990705,-117.5010714,0.015
48.49990705,-117.5010714,0.05
48.49990705,-117.5010714,0.025
48.49990705,-117.5010714,0.035
48.49990705,-117.5010714,0.035
48.49990705,-117.5010714,0.08
48.49990705,-117.5010714,0.095
48.49990705,-117.5010714,0.08
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.015
48.49990705,-117.5010714,0.01
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.025
48.49990705,-117.5010714,0.21453973349639482
48.49990705,-117.5010714,0.115
48.49990705,-117.5010714,0.01
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.125
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.035
48.49990705,-117.5010714,0.025
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.01
48.49990705,-117.5010714,0.005
48.49990705,-117.5010714,0.025
48.49990705,-117.5010714,0.01
48.49990705,-117.5010714,0.055
47.66654389,-118.33442755,0.02
47.66654389,-118.33442755,0.06
48.49990705,-117.5010714,0.02
48.49990705,-117.5010714,0.19159840370911094
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.01
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
48.49990705,-117.5010714,0.0
